Reason,Description,Title,Rationale,condition,Result,ID,command,Policy ID,Remediation,Compliance,Rules
,"When enabled, this feature logs packets with un-routable source addresses to the kernel log.",Ensure suspicious packets are logged.,Enabling this feature and logging these packets allows an administrator to investigate the possibility that an attacker is sending spoofed packets to their system.,all,failed,36087,sysctl net.ipv4.conf.all.log_martians,sca_distro_independent_linux,Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv4.conf.all.log_martians = 1 net.ipv4.conf.default.log_martians = 1 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv4.conf.all.log_martians=1 # sysctl -w net.ipv4.conf.default.log_martians=1 # sysctl -w net.ipv4.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.4""},{""key"":""cis_csc_v7"",""value"":""6.2""},{""key"":""cmmc_v2.0"",""value"":""AU.2.042,AU.5.055""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-12,AU-3""},{""key"":""pci_dss_v3.2.1"",""value"":""10.2,10.3""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv4.conf.all.log_martians -> r:=\\s*\\t*1$""},{""type"":""command"",""rule"":""c:sysctl net.ipv4.conf.default.log_martians -> r:=\\s*\\t*1$""}]"
,Setting net.ipv4.icmp_echo_ignore_broadcasts to 1 will cause the system to ignore all ICMP echo and timestamp requests to broadcast and multicast addresses.,Ensure broadcast ICMP requests are ignored.,"Accepting ICMP echo and timestamp requests with broadcast or multicast destinations for your network could be used to trick your host into starting (or participating) in a Smurf attack. A Smurf attack relies on an attacker sending large amounts of ICMP broadcast messages with a spoofed source address. All hosts receiving this message and responding would send echo-reply messages back to the spoofed address, which is probably not routable. If many hosts respond to the packets, the amount of traffic on the network could be significantly multiplied.",all,passed,36088,sysctl net.ipv4.icmp_echo_ignore_broadcasts,sca_distro_independent_linux,Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv4.icmp_echo_ignore_broadcasts = 1 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv4.icmp_echo_ignore_broadcasts=1 # sysctl -w net.ipv4.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.5""},{""key"":""cis_csc_v7"",""value"":""11""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv4.icmp_echo_ignore_broadcasts -> r:=\\s*\\t*1$""}]"
,"Setting icmp_ignore_bogus_error_responses to 1 prevents the kernel from logging bogus responses (RFC-1122 non-compliant) from broadcast reframes, keeping file systems from filling up with useless log messages.",Ensure bogus ICMP responses are ignored.,Some routers (and some attackers) will send responses that violate RFC-1122 and attempt to fill up a log file system with many useless error messages.,all,passed,36089,sysctl net.ipv4.icmp_ignore_bogus_error_responses,sca_distro_independent_linux,Set the following parameter in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv4.icmp_ignore_bogus_error_responses = 1 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv4.icmp_ignore_bogus_error_responses=1 # sysctl -w net.ipv4.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.6""},{""key"":""cis_csc_v7"",""value"":""11""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv4.icmp_ignore_bogus_error_responses -> r:=\\s*\\t*1$""}]"
,"Setting net.ipv4.conf.all.rp_filter and net.ipv4.conf.default.rp_filter to 1 forces the Linux kernel to utilize reverse path filtering on a received packet to determine if the packet was valid. Essentially, with reverse path filtering, if the return packet does not go out the same interface that the corresponding source packet came from, the packet is dropped (and logged if log_martians is set).",Ensure Reverse Path Filtering is enabled.,"Setting these flags is a good way to deter attackers from sending your system bogus packets that cannot be responded to. One instance where this feature breaks down is if asymmetrical routing is employed. This would occur when using dynamic routing protocols (bgp, ospf, etc) on your system. If you are using asymmetrical routing on your system, you will not be able to enable this feature without breaking the routing.",all,failed,36090,sysctl net.ipv4.conf.all.rp_filter,sca_distro_independent_linux,Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv4.conf.all.rp_filter = 1 net.ipv4.conf.default.rp_filter = 1 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv4.conf.all.rp_filter=1 # sysctl -w net.ipv4.conf.default.rp_filter=1 # sysctl -w net.ipv4.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.7""},{""key"":""cis_csc_v7"",""value"":""11""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv4.conf.all.rp_filter -> r:=\\s*\\t*1$""},{""type"":""command"",""rule"":""c:sysctl net.ipv4.conf.default.rp_filter -> r:=\\s*\\t*1$""}]"
,"When tcp_syncookies is set, the kernel will handle TCP SYN packets normally until the half-open connection queue is full, at which time, the SYN cookie functionality kicks in. SYN cookies work by not using the SYN queue at all. Instead, the kernel simply replies to the SYN with a SYN|ACK, but will include a specially crafted TCP sequence number that encodes the source and destination IP address and port number and the time the packet was sent. A legitimate connection would send the ACK packet of the three way handshake with the specially crafted sequence number. This allows the system to verify that it has received a valid response to a SYN cookie and allow the connection, even though there is no corresponding SYN in the queue.",Ensure TCP SYN Cookies is enabled.,"Attackers use SYN flood attacks to perform a denial of service attacked on a system by sending many SYN packets without completing the three way handshake. This will quickly use up slots in the kernel's half-open connection queue and prevent legitimate connections from succeeding. SYN cookies allow the system to keep accepting valid connections, even if under a denial of service attack.",all,passed,36091,sysctl net.ipv4.tcp_syncookies,sca_distro_independent_linux,Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv4.tcp_syncookies = 1 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv4.tcp_syncookies=1 # sysctl -w net.ipv4.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.8""},{""key"":""cis_csc_v7"",""value"":""11""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv4.tcp_syncookies -> r:=\\s*\\t*1$""}]"
,This setting disables the system's ability to accept IPv6 router advertisements.,Ensure IPv6 router advertisements are not accepted.,It is recommended that systems do not accept router advertisements as they could be tricked into routing traffic to compromised machines. Setting hard routes within the system (usually a single default route to a trusted router) protects the system from bad routes.,all,failed,36092,sysctl net.ipv6.conf.all.accept_ra,sca_distro_independent_linux,Set the following parameters in /etc/sysctl.conf or a /etc/sysctl.d/* file: net.ipv6.conf.all.accept_ra = 0 net.ipv6.conf.default.accept_ra = 0 Run the following commands to set the active kernel parameters: # sysctl -w net.ipv6.conf.all.accept_ra=0 # sysctl -w net.ipv6.conf.default.accept_ra=0 # sysctl -w net.ipv6.route.flush=1.,"[{""key"":""cis"",""value"":""3.2.9""},{""key"":""cis_csc_v7"",""value"":""11""}]","[{""type"":""command"",""rule"":""c:sysctl net.ipv6.conf.all.accept_ra -> r:=\\s*\\t*0$""},{""type"":""command"",""rule"":""c:sysctl net.ipv6.conf.default.accept_ra -> r:=\\s*\\t*0$""}]"
,"Many Linux distributions provide value-added firewall solutions which provide easy, advanced management of network traffic into and out of the local system. When these solutions are available and appropriate for an environment they should be used. In cases where a value-added firewall is not provided by a distribution, TCP Wrappers provides a simple access list and standardized logging method for services capable of supporting it. Services that are called from inetd and xinetd support the use of TCP wrappers. Any service that can support TCP wrappers will have the libwrap.so library attached to it.",Ensure TCP Wrappers is installed.,"TCP Wrappers provide a good simple access list mechanism to services that may not have that support built in. It is recommended that all services that can support TCP Wrappers, use it.",any,passed,36093,rpm -q tcp_wrappers,sca_distro_independent_linux,Run the following command to install TCP Wrappers: # yum install tcp_wrappers # apt-get install tcpd # zypper install tcpd.,"[{""key"":""cis"",""value"":""3.3.1""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:dpkg -s tcpd -> r:^Status: install ok installed""},{""type"":""command"",""rule"":""c:rpm -q tcp_wrappers -> r:^package tcp_wrappers is not installed""}]"
,The /etc/hosts.deny file specifies which IP addresses are not permitted to connect to the host. It is intended to be used in conjunction with the /etc/hosts.allow file.,Ensure /etc/hosts.deny is configured.,The /etc/hosts.deny file serves as a failsafe so that any host not specified in /etc/hosts.allow is denied access to the system.,all,failed,36094,,sca_distro_independent_linux,"Run the following command to create /etc/hosts.deny: # echo ""ALL: ALL"" >> /etc/hosts.deny Notes: Contents of the /etc/hosts.deny file may include additional options depending on your network configuration.","[{""key"":""cis"",""value"":""3.3.3""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""file"",""rule"":""f:/etc/hosts.deny""},{""type"":""file"",""rule"":""f:/etc/hosts.deny -> r:^ALL: ALL$""}]"
,The /etc/hosts.allow file contains networking information that is used by many applications and therefore must be readable for these applications to operate.,Ensure permissions on /etc/hosts.allow are configured.,"It is critical to ensure that the /etc/hosts.allow file is protected from unauthorized write access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",all,passed,36095,"stat -Lc ""%a %A %u %U %g %G"" /etc/hosts.allow",sca_distro_independent_linux,Run the following commands to set permissions on /etc/hosts.allow: # chown root:root /etc/hosts.allow # chmod 644 /etc/hosts.allow.,"[{""key"":""cis"",""value"":""3.3.4""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:stat -Lc \""%a %A %u %U %g %G\"" /etc/hosts.allow -> r:644 && r:0 root 0 root""}]"
,The /etc/hosts.deny file contains network information that is used by many system applications and therefore must be readable for these applications to operate.,Ensure permissions on /etc/hosts.deny are configured.,"It is critical to ensure that the /etc/hosts.deny file is protected from unauthorized write access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",all,passed,36096,"stat -Lc ""%a %A %u %U %g %G"" /etc/hosts.deny",sca_distro_independent_linux,Run the following commands to set permissions on /etc/hosts.deny : # chown root:root /etc/hosts.deny # chmod 644 /etc/hosts.deny.,"[{""key"":""cis"",""value"":""3.3.5""},{""key"":""cis_csc_v7"",""value"":""5.1""},{""key"":""cmmc_v2.0"",""value"":""AC.1.002,CM.2.061,SC.3.180""},{""key"":""iso_27001-2013"",""value"":""A.14.2.5,A.8.1.3""},{""key"":""mitre_techniques"",""value"":""T1003,T1011,T1015,T1017,T1019,T1028,T1034,T1035,T1036,T1037,T1044,T1047,T1051,T1053,T1054,T1055,T1058,T1067,T1070,T1072,T1073,T1075,T1076,T1077,T1078,T1080,T1081,T1084,T1086,T1087,T1088,T1089,T1092,T1096,T1097,T1098,T1100,T1110,T1112,T1130,T1133,T1134,T1136,T1137,T1138,T1139,T1142,T1145,T1146,T1147,T1148,T1150,T1156,T1157,T1165,T1166,T1169,T1173,T1174,T1175,T1176,T1177,T1178,T1184,T1187,T1190,T1196,T1197,T1198,T1199,T1200,T1201,T1206,T1208,T1209,T1210,T1214,T1215,T1218,T1485,T1486,T1487,T1488,T1489,T1490,T1491,T1492,T1494,T1495,T1501,T1503,T1504,T1505,T1506,T1525,T1530,T1535,T1537,T1539""},{""key"":""nist_sp_800-53"",""value"":""AU-2,CM-1,CM-2,CM-6,CM-7,IA-5,IA-6,SC-20,SC-21""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:stat -Lc \""%a %A %u %U %g %G\"" /etc/hosts.deny -> r:644 && r:0 root 0 root""}]"
,"The Datagram Congestion Control Protocol (DCCP) is a transport layer protocol that supports streaming media and telephony. DCCP provides a way to gain access to congestion control, without having to do it at the application layer, but does not provide in-sequence delivery.",Ensure DCCP is disabled.,"If the protocol is not required, it is recommended that the drivers not be installed to reduce the potential attack surface.",all,failed,36097,modprobe -n -v dccp,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/dccp.conf and add the following line: install dccp /bin/true.,"[{""key"":""cis"",""value"":""3.4.1""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068,SC.5.230""},{""key"":""iso_27001-2013"",""value"":""A.13.1.3""},{""key"":""mitre_techniques"",""value"":""T1015,T1051,T1076,T1133,T1200""},{""key"":""nist_sp_800-53"",""value"":""SI-4""},{""key"":""pci_dss_v3.2.1"",""value"":""1.2.1,2.2.2,2.2.5""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v dccp -> r:install /bin/false|install /bin/true""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:dccp""}]"
,"The Stream Control Transmission Protocol (SCTP) is a transport layer protocol used to support message oriented communication, with several streams of messages in one connection. It serves a similar function as TCP and UDP, incorporating features of both. It is message-oriented like UDP, and ensures reliable in-sequence transport of messages with congestion control like TCP.",Ensure SCTP is disabled.,"If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",all,failed,36098,modprobe -n -v sctp,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/sctp.conf and add the following line: install sctp /bin/true.,"[{""key"":""cis"",""value"":""3.4.2""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068,SC.5.230""},{""key"":""iso_27001-2013"",""value"":""A.13.1.3""},{""key"":""mitre_techniques"",""value"":""T1015,T1051,T1076,T1133,T1200""},{""key"":""nist_sp_800-53"",""value"":""SI-4""},{""key"":""pci_dss_v3.2.1"",""value"":""1.2.1,2.2.2,2.2.5""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v sctp -> r:install /bin/false|install /bin/true""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:sctp""}]"
,"The Reliable Datagram Sockets (RDS) protocol is a transport layer protocol designed to provide low-latency, high-bandwidth communications between cluster nodes. It was developed by the Oracle Corporation.",Ensure RDS is disabled.,"If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",all,failed,36099,modprobe -n -v rds,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/rds.conf and add the following line: install rds /bin/true.,"[{""key"":""cis"",""value"":""3.4.3""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068,SC.5.230""},{""key"":""iso_27001-2013"",""value"":""A.13.1.3""},{""key"":""mitre_techniques"",""value"":""T1015,T1051,T1076,T1133,T1200""},{""key"":""nist_sp_800-53"",""value"":""SI-4""},{""key"":""pci_dss_v3.2.1"",""value"":""1.2.1,2.2.2,2.2.5""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v rds -> r:install /bin/false|install /bin/true""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:rds""}]"
,The Transparent Inter-Process Communication (TIPC) protocol is designed to provide communication between cluster nodes.,Ensure TIPC is disabled.,"If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",all,failed,36100,modprobe -n -v tipc,sca_distro_independent_linux,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/tipc.conf and add the following line: install tipc /bin/true.,"[{""key"":""cis"",""value"":""3.4.4""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068,SC.5.230""},{""key"":""iso_27001-2013"",""value"":""A.13.1.3""},{""key"":""mitre_techniques"",""value"":""T1015,T1051,T1076,T1133,T1200""},{""key"":""nist_sp_800-53"",""value"":""SI-4""},{""key"":""pci_dss_v3.2.1"",""value"":""1.2.1,2.2.2,2.2.5""}]","[{""type"":""command"",""rule"":""c:modprobe -n -v tipc -> r:install /bin/false|install /bin/true""},{""type"":""numeric"",""rule"":""not c:lsmod -> r:tipc""}]"
,A default deny all policy on connections ensures that any unconfigured network usage will be rejected.,Ensure IPv6 default deny firewall policy.,With a default accept policy the firewall will accept any packet that is not configured to be denied. It is easier to white list acceptable usage than to black list unacceptable usage.,all,failed,36101,ip6tables -L,sca_distro_independent_linux,"Run the following commands to implement a default DROP policy: # ip6tables -P INPUT DROP # ip6tables -P OUTPUT DROP # ip6tables -P FORWARD DROP Notes: Changing firewall settings while connected over network can result in being locked out of the system. Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.","[{""key"":""cis"",""value"":""3.5.1.1""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:ip6tables -L -> r:^Chain FORWARD && r:policy DROP""},{""type"":""command"",""rule"":""c:ip6tables -L -> r:^Chain INPUT && r:policy DROP""},{""type"":""command"",""rule"":""c:ip6tables -L -> r:^Chain OUTPUT && r:policy DROP""}]"
,Configure the loopback interface to accept traffic. Configure all other interfaces to deny traffic to the loopback network (::1).,Ensure IPv6 loopback traffic is configured.,"Loopback traffic is generated between processes on machine and is typically critical to operation of the system. The loopback interface is the only place that loopback network (::1) traffic should be seen, all other interfaces should ignore traffic on this network as an anti-spoofing measure.",all,failed,36102,ip6tables -L INPUT -v -n,sca_distro_independent_linux,"Run the following commands to implement the loopback rules: # ip6tables -A INPUT -i lo -j ACCEPT # ip6tables -A OUTPUT -o lo -j ACCEPT # ip6tables -A INPUT -s ::1 -j DROP Notes: Changing firewall settings while connected over network can result in being locked out of the system. Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.","[{""key"":""cis"",""value"":""3.5.1.2""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:ip6tables -L INPUT -v -n -> r:\\.*ACCEPT\\.*all\\.*lo\\.*\\p\\.*::/0\\.*::/0""},{""type"":""command"",""rule"":""c:ip6tables -L INPUT -v -n -> r:\\.*DROP\\.*all\\.*\\p\\.*\\p\\.*::1\\.*::/0""},{""type"":""command"",""rule"":""c:ip6tables -L OUTPUT -v -n -> r:\\.*ACCEPT\\.*all\\.*\\p\\.*lo\\.*::/0\\.*::/0""}]"
,A default deny all policy on connections ensures that any unconfigured network usage will be rejected.,Ensure default deny firewall policy.,With a default accept policy the firewall will accept any packet that is not configured to be denied. It is easier to white list acceptable usage than to black list unacceptable usage.,all,failed,36103,iptables -L,sca_distro_independent_linux,"Run the following commands to implement a default DROP policy: # iptables -P INPUT DROP # iptables -P OUTPUT DROP # iptables -P FORWARD DROP Notes: Changing firewall settings while connected over network can result in being locked out of the system. Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.","[{""key"":""cis"",""value"":""3.5.2.1""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:iptables -L -> r:Chain FORWARD \\(policy && r:DROP\\)|REJECT\\)""},{""type"":""command"",""rule"":""c:iptables -L -> r:Chain INPUT \\(policy && r:DROP\\)|REJECT\\)""},{""type"":""command"",""rule"":""c:iptables -L -> r:Chain OUTPUT \\(policy && r:DROP\\)|REJECT\\)""}]"
,Configure the loopback interface to accept traffic. Configure all other interfaces to deny traffic to the loopback network (127.0.0.0/8).,Ensure loopback traffic is configured.,"Loopback traffic is generated between processes on machine and is typically critical to operation of the system. The loopback interface is the only place that loopback network (127.0.0.0/8) traffic should be seen, all other interfaces should ignore traffic on this network as an anti-spoofing measure.",all,failed,36104,iptables -L INPUT -v -n,sca_distro_independent_linux,"Run the following commands to implement the loopback rules: # iptables -A INPUT -i lo -j ACCEPT # iptables -A OUTPUT -o lo -j ACCEPT # iptables -A INPUT -s 127.0.0.0/8 -j DROP Notes: Changing firewall settings while connected over network can result in being locked out of the system. Remediation will only affect the active system firewall, be sure to configure the default policy in your firewall management to apply on boot as well.","[{""key"":""cis"",""value"":""3.5.2.2""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:iptables -L INPUT -v -n -> r:\\.*ACCEPT\\.*all\\.*lo\\.*\\p\\.*0.0.0.0/0\\.*0.0.0.0/0""},{""type"":""command"",""rule"":""c:iptables -L INPUT -v -n -> r:\\.*DROP\\.*all\\.*\\p\\.*\\p\\.*127.0.0.0/8\\.*0.0.0.0/0""},{""type"":""command"",""rule"":""c:iptables -L OUTPUT -v -n -> r:\\.*ACCEPT\\.*all\\.*\\p\\.*lo\\.*0.0.0.0/0\\.*0.0.0.0/0""}]"
,iptables allows configuration of the IPv4 and IPv6 tables in the linux kernel and the rules stored within them. Most firewall configuration utilities operate as a front end to iptables.,Ensure iptables is installed.,iptables is required for firewall management and configuration.,all,passed,36105,which iptables,sca_distro_independent_linux,Run the following command to install iptables: # yum install iptables # apt-get install iptables # zypper install iptables.,"[{""key"":""cis"",""value"":""3.5.3""},{""key"":""cis_csc_v7"",""value"":""9.4""},{""key"":""cmmc_v2.0"",""value"":""CM.3.068""},{""key"":""iso_27001-2013"",""value"":""A.13.1.1""},{""key"":""pci_dss_v3.2.1"",""value"":""1.4""}]","[{""type"":""command"",""rule"":""c:which iptables -> r:/iptables""}]"
,Wireless networking is used when wired networks are unavailable. Debian contains a wireless tool kit to allow system administrators to configure and use wireless networks.,Ensure wireless interfaces are disabled.,"If wireless is not to be used, wireless devices can be disabled to reduce the potential attack surface.",all,failed,36106,nmcli radio wifi,sca_distro_independent_linux,Run the following command to disable any wireless interfaces: # ip link set <interface> down Disable any wireless interfaces in your network configuration.,"[{""key"":""cis"",""value"":""3.6""},{""key"":""cis_csc_v7"",""value"":""15.4""},{""key"":""iso_27001-2013"",""value"":""A.8.1.3""},{""key"":""pci_dss_v3.2.1"",""value"":""2.2""}]","[{""type"":""command"",""rule"":""c:nmcli radio wifi -> r:^disabled""},{""type"":""command"",""rule"":""c:nmcli radio wwan -> r:^disabled""}]"
,"Configure the maximum size of the audit log file. Once the log reaches the maximum size, it will be rotated and a new log file will be started.",Ensure audit log storage size is configured.,It is important that an appropriate size is determined for log files so that they do not impact the system and audit data is not lost.,all,failed,36107,,sca_distro_independent_linux,Set the following parameter in /etc/audit/auditd.conf in accordance with site policy: max_log_file = <MB> Notes: The max_log_file parameter is measured in megabytes. Other methods of log rotation may be appropriate based on site policy. One example is time-based rotation strategies which don't have native support in auditd configurations. Manual audit of custom configurations should be evaluated for effectiveness and completeness.,"[{""key"":""cis"",""value"":""4.1.1.1""},{""key"":""cis_csc_v7"",""value"":""6.4""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-4""},{""key"":""pci_dss_v3.2.1"",""value"":""10.7""}]","[{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf""},{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf -> r:max_log_file\\s*\\t*=\\s*\\t*\\d+""}]"
,The auditd daemon can be configured to halt the system when the audit logs are full.,Ensure system is disabled when audit logs are full.,"In high security contexts, the risk of detecting unauthorized access or nonrepudiation exceeds the benefit of the system's availability.",all,failed,36108,,sca_distro_independent_linux,Set the following parameters in /etc/audit/auditd.conf: space_left_action = email action_mail_acct = root admin_space_left_action = halt.,"[{""key"":""cis"",""value"":""4.1.1.2""},{""key"":""cis_csc_v7"",""value"":""6.4""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-4""},{""key"":""pci_dss_v3.2.1"",""value"":""10.7""}]","[{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf""},{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf -> r:action_mail_acct\\s*\\t*=\\s*\\t*root""},{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf -> r:admin_space_left_action\\s*\\t*=\\s*\\t*halt""},{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf -> r:space_left_action\\s*\\t*=\\s*\\t*email""}]"
,The max_log_file_action setting determines how to handle the audit log file reaching the max file size. A value of keep_logs will rotate the logs but never delete old logs.,Ensure audit logs are not automatically deleted.,"In high security contexts, the benefits of maintaining a long audit history exceed the cost of storing the audit history.",all,failed,36109,,sca_distro_independent_linux,Set the following parameter in /etc/audit/auditd.conf: max_log_file_action = keep_logs.,"[{""key"":""cis"",""value"":""4.1.1.3""},{""key"":""cis_csc_v7"",""value"":""6.4""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-4""},{""key"":""pci_dss_v3.2.1"",""value"":""10.7""}]","[{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf""},{""type"":""file"",""rule"":""f:/etc/audit/auditd.conf -> r:max_log_file_action\\s*\\t*=\\s*\\t*keep_logs""}]"
,auditd is the userspace component to the Linux Auditing System. It's responsible for writing audit records to the disk.,Ensure auditd is installed.,The capturing of system events provides system administrators with information to allow them to determine if unauthorized access to their system is occurring.,all,failed,36110,which auditd,sca_distro_independent_linux,Run the following command to Install auditd # yum install audit audit-libs # apt-get install auditd audispd-plugins # zipper install audit audit-libs.,"[{""key"":""cis"",""value"":""4.1.2""},{""key"":""cis_csc_v7"",""value"":""6.2""},{""key"":""cmmc_v2.0"",""value"":""AU.2.042,AU.5.055""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-12,AU-3""},{""key"":""pci_dss_v3.2.1"",""value"":""10.2,10.3""}]","[{""type"":""command"",""rule"":""c:which auditd -> r:/auditd""}]"
